Date,Influent Ammonia (mg/L),Influent Nitrate (mg/L),Influent Organic Nitrogen (mg/L),Total Phosphorus (mg/L),Influent Flow (Million Gallons),Effluent Ammonia (mg/L),Effluent Nitrate (mg/L),Effluent Organic Nitrogen (mg/L) ,Effluent Total Phosphorus (mg/L),Effluent Flow (MGD),Effluent Flow (m3/day),Nitrate loading (kg/d),TP loading (kg/d)
12/1/89,11.20,,,,,,0.54,,,,0,0,0
12/2/89,12.60,,,,,0.32,,,,,0,0,0
12/3/89,13.70,,,,,,,,,,0,0,0
12/4/89,12.80,,,5.60,,,,,5.80,,0,0,0
12/5/89,12.30,,,,,,,,,,0,0,0
12/6/89,11.80,,,,,,,,,,0,0,0
12/7/89,12.10,,,9.20,,,,,5.90,,0,0,0
12/8/89,6.30,,,,,,0.36,,,,0,0,0
12/9/89,12.90,,,,,,,,,,0,0,0
12/10/89,13.70,,,,,,,,,,0,0,0
12/11/89,11.40,,,9.20,,0.07,,,9.00,,0,0,0
12/12/89,13.00,,,,,,,,,,0,0,0
12/13/89,12.90,,,,,,,,,,0,0,0
12/14/89,13.00,,,10.00,,,0.39,,7.80,,0,0,0
12/15/89,12.90,,,,,,,,,,0,0,0
12/16/89,12.90,,,,,,,,,,0,0,0
12/17/89,13.20,,,,,,,,,,0,0,0
12/18/89,12.30,,,,,,,,,,0,0,0
12/19/89,13.50,,,7.40,,,,,5.20,,0,0,0
12/20/89,12.70,,,,,,,,,,0,0,0
12/21/89,12.50,,,11.80,,,0.65,,5.50,,0,0,0
12/22/89,11.60,,,,,,,,,,0,0,0
12/23/89,11.80,,,,,1.33,,,,,0,0,0
12/24/89,11.60,,,,,,,,,,0,0,0
12/25/89,13.90,,,8.20,,,,,5.20,,0,0,0
12/26/89,14.70,,,,,,,,,,0,0,0
12/27/89,12.40,,,,,,,,,,0,0,0
12/28/89,11.60,,,10.00,,0.35,,,4.40,,0,0,0
12/29/89,10.90,,,,,3.26,0.34,,,,0,0,0
12/30/89,11.00,,,,,,,,,,0,0,0
12/31/89,12.30,,,,,,,,,,0,0,0
1/1/90,11.20,,,8.10,,,,,4.50,21.51,81424.20782,0,366.4089352
1/2/90,12.10,,,,,,,,,20.72,78433.7325,0,0
1/3/90,11.00,,,,,,,,,24.00,90849.8832,0,0
1/4/90,10.60,,,7.40,,0.37,,,4.20,23.17,87707.99141,0,368.3735639
1/5/90,13.70,,,,,0.37,,,,21.92,82976.22666,0,0
1/6/90,12.20,,,,,,,,,22.77,86193.82669,0,0
1/7/90,12.70,,,,,,,,,22.38,84717.51608,0,0
1/8/90,13.00,,,8.50,,,,,5.90,19.66,74421.19599,0,439.0850563
1/9/90,14.00,,,,,,,,,22.28,84338.9749,0,0
1/10/90,13.70,,,,,0.47,,,,23.25,88010.82435,0,0
1/11/90,13.10,,,8.60,,0.68,,,5.20,20.22,76541.0266,0,398.0133383
1/12/90,14.40,,,,,,,,,20.17,76351.75601,0,0
1/13/90,12.30,,,,,0.77,,,,21.14,80023.60545,0,0
1/14/90,12.90,,,,,,,,,21.54,81537.77017,0,0
1/15/90,12.60,,,,,0.59,,,,23.13,87556.57493,0,0
1/16/90,12.60,,,,,,,,,26.40,99934.87152,0,0
1/17/90,10.10,,,,,,,,,29.70,112426.7305,0,0
1/18/90,13.60,,,7.40,,,,,3.60,21.90,82900.51842,0,298.4418663
1/19/90,12.30,,,,,,6.40,,,22.78,86231.6808,551.8827571,0
1/20/90,12.50,,,,,0.24,,,,24.48,92666.88086,0,0
1/21/90,14.90,,,,,,,,,21.36,80856.39605,0,0
1/22/90,15.00,,,8.60,,,,,3.60,22.21,84073.99608,0,302.6663859
1/23/90,14.60,,,,,,,,,21.03,79607.21015,0,0
1/24/90,12.90,,,,,,,,,21.32,80704.97958,0,0
1/25/90,11.80,,,,,,,,,26.10,98799.24798,0,0
1/26/90,13.50,,,,,,,,,21.64,81916.31135,0,0
1/27/90,13.10,,,,,,,,,22.23,84149.70431,0,0
1/28/90,14.00,,,,,,,,,20.34,76995.27601,0,0
1/29/90,13.80,,,8.40,,,,,4.50,21.61,81802.749,0,368.1123705
1/30/90,11.80,,,,,0.10,,,,21.72,82219.1443,0,0
1/31/90,15.10,,,,,,,,,22.30,84414.68314,0,0
2/1/90,6.38,,,5.40,,0.61,,,3.70,43.56,164892.538,0,610.1023906
2/2/90,17.50,,,,,,,,,30.33,114811.5399,0,0
2/3/90,26.70,,,,,0.51,,,,27.79,105196.5939,0,0
2/4/90,26.30,,,,,0.52,,,,24.34,92136.92321,0,0
2/5/90,25.00,,,7.40,,0.19,,,3.90,22.14,83809.01725,0,326.8551673
2/6/90,31.40,,,,,,,,,23.52,89032.88554,0,0
2/7/90,25.30,,,,,,,,,23.10,87443.01258,0,0
2/8/90,22.80,,,7.00,,,,,3.80,25.06,94862.41971,0,360.4771949
